,type,coordinates,date,lon,lat
0,Point,"[75.29160511325186, 29.74088383000245]",03-11-2020,75.29160511,29.74088383
1,Point,"[75.26450381058906, 29.822379390012664]",03-11-2020,75.26450381,29.82237939
2,Point,"[75.2547632351181, 29.81365158569974]",03-11-2020,75.25476324,29.81365159
3,Point,"[75.48165628602612, 29.81712984587738]",03-11-2020,75.48165629,29.81712985
4,Point,"[75.63286847519544, 29.814806309086055]",03-11-2020,75.63286848,29.81480631
5,Point,"[75.87753447727395, 29.75195473240892]",03-11-2020,75.87753448,29.75195473
6,Point,"[75.87422000879292, 29.77462504741278]",03-11-2020,75.87422001,29.77462505
7,Point,"[75.92301068252401, 29.78013065445168]",03-11-2020,75.92301068,29.78013065
8,Point,"[75.9382456297286, 29.786462588217212]",03-11-2020,75.93824563,29.78646259
9,Point,"[75.87210352783308, 29.78845934901302]",03-11-2020,75.87210353,29.78845935
10,Point,"[75.75436998967085, 29.892854980213936]",03-11-2020,75.75436999,29.89285498
11,Point,"[75.66581307513451, 29.843906040572787]",03-11-2020,75.66581308,29.84390604
12,Point,"[76.13590617667938, 29.97360881471978]",03-11-2020,76.13590618,29.97360881
13,Point,"[76.15332980644013, 29.965950334000972]",03-11-2020,76.15332981,29.96595033
14,Point,"[76.06807203620392, 29.999059019624617]",03-11-2020,76.06807204,29.99905902
15,Point,"[76.04178303316263, 30.006380477280324]",03-11-2020,76.04178303,30.00638048
16,Point,"[76.08418313341939, 30.03367418799395]",03-11-2020,76.08418313,30.03367419
17,Point,"[76.04878667496797, 30.036646396277302]",03-11-2020,76.04878667,30.0366464
18,Point,"[76.17815391363801, 30.04640546686203]",03-11-2020,76.17815391,30.04640547
19,Point,"[76.13039171733902, 30.085158375049506]",03-11-2020,76.13039172,30.08515838
20,Point,"[76.20489275493668, 30.08928014593427]",03-11-2020,76.20489275,30.08928015
21,Point,"[76.09680021925502, 30.114150112506806]",03-11-2020,76.09680022,30.11415011
22,Point,"[76.12411716682347, 30.223634215020276]",03-11-2020,76.12411717,30.22363422
23,Point,"[76.05673244729195, 30.17434655306585]",03-11-2020,76.05673245,30.17434655
24,Point,"[75.80737931120262, 29.963360635681255]",03-11-2020,75.80737931,29.96336064
25,Point,"[75.67891758725035, 29.968804187054474]",03-11-2020,75.67891759,29.96880419
26,Point,"[75.45009297177184, 30.029525050281325]",03-11-2020,75.45009297,30.02952505
27,Point,"[74.47664560146946, 30.030321344824884]",03-11-2020,74.4766456,30.03032134
28,Point,"[74.42866624661106, 30.025082433508796]",03-11-2020,74.42866625,30.02508243
29,Point,"[74.53109046562973, 30.29977517977785]",03-11-2020,74.53109047,30.29977518
30,Point,"[74.34034746971597, 30.29425081803774]",03-11-2020,74.34034747,30.29425082
31,Point,"[74.68724318456113, 30.54259639895035]",03-11-2020,74.68724318,30.5425964
32,Point,"[74.53167506169736, 30.57631079577895]",03-11-2020,74.53167506,30.5763108
33,Point,"[74.49799545727329, 30.59411842304581]",03-11-2020,74.49799546,30.59411842
34,Point,"[74.46486481152134, 30.57668056910078]",03-11-2020,74.46486481,30.57668057
35,Point,"[74.59550689082519, 30.633954263638305]",03-11-2020,74.59550689,30.63395426
36,Point,"[74.58044360499755, 30.63273569506555]",03-11-2020,74.5804436,30.6327357
37,Point,"[74.38824517998958, 30.642542330201653]",03-11-2020,74.38824518,30.64254233
38,Point,"[74.529982643707, 30.911086191059596]",03-11-2020,74.52998264,30.91108619
39,Point,"[74.42440364171888, 30.917134758744652]",03-11-2020,74.42440364,30.91713476
40,Point,"[74.57060115729605, 30.91782472628636]",03-11-2020,74.57060116,30.91782473
41,Point,"[74.98486061790005, 30.992677396935502]",03-11-2020,74.98486062,30.9926774
42,Point,"[74.78258635717962, 31.11151381768604]",03-11-2020,74.78258636,31.11151382
43,Point,"[74.5916945960562, 31.19871338753911]",03-11-2020,74.5916946,31.19871339
44,Point,"[74.62437338745414, 31.24471846883228]",03-11-2020,74.62437339,31.24471847
45,Point,"[74.6597158118283, 31.454528355631858]",03-11-2020,74.65971581,31.45452836
46,Point,"[74.62734419656977, 31.48683353263548]",03-11-2020,74.6273442,31.48683353
47,Point,"[74.61065091212362, 31.565119001231952]",03-11-2020,74.61065091,31.565119
48,Point,"[74.95177726863514, 31.88945745314114]",03-11-2020,74.95177727,31.88945745
49,Point,"[75.33413230341922, 32.03803319796011]",03-11-2020,75.3341323,32.0380332
50,Point,"[76.179297482758, 30.957544346589362]",03-11-2020,76.17929748,30.95754435
51,Point,"[76.1325195904262, 30.886661868124307]",03-11-2020,76.13251959,30.88666187
52,Point,"[75.92749911742743, 30.827532640594477]",03-11-2020,75.92749912,30.82753264
53,Point,"[75.68859992283896, 30.87592177860507]",03-11-2020,75.68859992,30.87592178
54,Point,"[75.54233724560537, 30.78869209672727]",03-11-2020,75.54233725,30.7886921
55,Point,"[75.43066989253155, 30.78977559257056]",03-11-2020,75.43066989,30.78977559
56,Point,"[75.4212485431422, 30.80519130539687]",03-11-2020,75.42124854,30.80519131
57,Point,"[75.36920374686213, 30.77573965668629]",03-11-2020,75.36920375,30.77573966
58,Point,"[75.43959755881524, 30.840979428948835]",03-11-2020,75.43959756,30.84097943
59,Point,"[75.50650258048272, 30.883362344433994]",03-11-2020,75.50650258,30.88336234
60,Point,"[75.55896114230849, 30.906366929885102]",03-11-2020,75.55896114,30.90636693
61,Point,"[75.62724943477068, 30.960280391363867]",03-11-2020,75.62724943,30.96028039
62,Point,"[75.56539598788252, 31.0084987736944]",03-11-2020,75.56539599,31.00849877
63,Point,"[75.51079715044793, 31.099690483148407]",03-11-2020,75.51079715,31.09969048
64,Point,"[75.80346164269167, 31.05084023911455]",03-11-2020,75.80346164,31.05084024
65,Point,"[75.81007060570437, 31.054149121822466]",03-11-2020,75.81007061,31.05414912
66,Point,"[75.72758276687006, 31.086244353350704]",03-11-2020,75.72758277,31.08624435
67,Point,"[75.85187547435166, 31.11045338646104]",03-11-2020,75.85187547,31.11045339
68,Point,"[75.00372741789123, 30.71212144021018]",03-11-2020,75.00372742,30.71212144
69,Point,"[74.91664197586813, 30.721142144127455]",03-11-2020,74.91664198,30.72114214
70,Point,"[74.94839933060446, 30.686899577385585]",03-11-2020,74.94839933,30.68689958
71,Point,"[74.98419072769919, 30.70263864555057]",03-11-2020,74.98419073,30.70263865
72,Point,"[74.89683765102907, 30.5625406667338]",03-11-2020,74.89683765,30.56254067
73,Point,"[74.86777901950161, 30.578572312207708]",03-11-2020,74.86777902,30.57857231
74,Point,"[74.27506695339568, 30.750002444988844]",03-11-2020,74.27506695,30.75000244
75,Point,"[74.90395155517767, 30.737651865235787]",03-11-2020,74.90395156,30.73765187
76,Point,"[74.87815821541386, 30.806321582137432]",03-11-2020,74.87815822,30.80632158
77,Point,"[74.96008270080907, 30.85807691281267]",03-11-2020,74.9600827,30.85807691
78,Point,"[75.00038020904881, 30.851924390929756]",03-11-2020,75.00038021,30.85192439
79,Point,"[74.86879393949253, 30.862006972713218]",03-11-2020,74.86879394,30.86200697
80,Point,"[75.25061042429556, 30.800354893574898]",03-11-2020,75.25061042,30.80035489
81,Point,"[75.16877649842682, 30.788723405440937]",03-11-2020,75.1687765,30.78872341
82,Point,"[75.2974622721994, 30.859568125310226]",03-11-2020,75.29746227,30.85956813
83,Point,"[75.50557049289277, 30.465152215377447]",03-11-2020,75.50557049,30.46515222
84,Point,"[76.02173925741762, 30.303649235351198]",03-11-2020,76.02173926,30.30364924
85,Point,"[75.90451830141228, 30.34600612960888]",03-11-2020,75.9045183,30.34600613
86,Point,"[75.8330213379113, 30.326301250115712]",03-11-2020,75.83302134,30.32630125
87,Point,"[75.77429215997842, 30.299938617149113]",03-11-2020,75.77429216,30.29993862
88,Point,"[75.65640461610641, 30.265233182765872]",03-11-2020,75.65640462,30.26523318
89,Point,"[75.37944389385193, 30.229782898630166]",03-11-2020,75.37944389,30.2297829
90,Point,"[75.34293183355705, 30.25037836115224]",03-11-2020,75.34293183,30.25037836
91,Point,"[75.29616777229629, 30.247014421641452]",03-11-2020,75.29616777,30.24701442
92,Point,"[75.15043066279279, 30.18134665219839]",03-11-2020,75.15043066,30.18134665
93,Point,"[75.13574403150554, 30.239498629831683]",03-11-2020,75.13574403,30.23949863
94,Point,"[75.0592365610437, 29.968010914772652]",03-11-2020,75.05923656,29.96801091
95,Point,"[75.06258395789429, 29.959682749224267]",03-11-2020,75.06258396,29.95968275
96,Point,"[75.0084350366219, 30.05194640543024]",03-11-2020,75.00843504,30.05194641
97,Point,"[75.15823792686898, 30.43152437532147]",03-11-2020,75.15823793,30.43152438
98,Point,"[75.31250403659803, 30.51695072388416]",03-11-2020,75.31250404,30.51695072
99,Point,"[75.17843650119764, 30.325958073264523]",03-11-2020,75.1784365,30.32595807
100,Point,"[75.08122646164777, 30.34958729945374]",03-11-2020,75.08122646,30.3495873
101,Point,"[74.80045667308565, 30.440646287328633]",03-11-2020,74.80045667,30.44064629
102,Point,"[74.67729476594235, 30.59080132027587]",03-11-2020,74.67729477,30.59080132
103,Point,"[74.67375422741827, 30.733297020055694]",03-11-2020,74.67375423,30.73329702
104,Point,"[74.73923680919823, 31.07302590285429]",03-11-2020,74.73923681,31.0730259
105,Point,"[74.84987832732506, 31.235140504358032]",03-11-2020,74.84987833,31.2351405
106,Point,"[74.9215382148312, 31.567258192406]",03-11-2020,74.92153821,31.56725819
107,Point,"[74.85039322418105, 31.91170676006774]",03-11-2020,74.85039322,31.91170676
108,Point,"[75.38685400436037, 31.872517058129763]",03-11-2020,75.386854,31.87251706
109,Point,"[75.58749010066524, 31.932545635605678]",03-11-2020,75.5874901,31.93254564
110,Point,"[75.68005166750582, 31.384266656374585]",03-11-2020,75.68005167,31.38426666
111,Point,"[75.79057531063492, 30.110608968339793]",03-11-2020,75.79057531,30.11060897
112,Point,"[75.85368056344029, 30.181541975974596]",03-11-2020,75.85368056,30.18154198
113,Point,"[75.80999274300572, 30.18287748063492]",03-11-2020,75.80999274,30.18287748
114,Point,"[75.89469581692943, 30.034269950621866]",03-11-2020,75.89469582,30.03426995
115,Point,"[75.24143376529165, 29.74750985329354]",03-11-2020,75.24143377,29.74750985
116,Point,"[75.15455034188768, 30.014649156295697]",03-11-2020,75.15455034,30.01464916
117,Point,"[75.08276272033189, 30.030397778334816]",03-11-2020,75.08276272,30.03039778
118,Point,"[75.8161398128078, 30.376989600998087]",03-11-2020,75.81613981,30.3769896
119,Point,"[75.68782587421997, 30.32894104207068]",03-11-2020,75.68782587,30.32894104
120,Point,"[75.64424449375427, 30.31323449090376]",03-11-2020,75.64424449,30.31323449
121,Point,"[75.72304359528266, 30.464272089308835]",03-11-2020,75.7230436,30.46427209
122,Point,"[76.1906402670569, 30.609724260642476]",03-11-2020,76.19064027,30.60972426
0,Point,"[76.14416514291162, 31.17454204460297]",05-11-2020,76.14416514,31.17454204
1,Point,"[76.17327450359508, 31.121891737160333]",05-11-2020,76.1732745,31.12189174
2,Point,"[76.57631312441882, 30.999195721600007]",05-11-2020,76.57631312,30.99919572
3,Point,"[76.05980591246788, 31.040280210474595]",05-11-2020,76.05980591,31.04028021
4,Point,"[76.07176354290989, 30.73150640020479]",05-11-2020,76.07176354,30.7315064
5,Point,"[75.92571676539887, 30.412995029749137]",05-11-2020,75.92571677,30.41299503
6,Point,"[75.94290641747602, 30.433414469262246]",05-11-2020,75.94290642,30.43341447
7,Point,"[75.95654282935051, 30.29386000385547]",05-11-2020,75.95654283,30.29386
8,Point,"[75.91560873314661, 30.205736356394574]",05-11-2020,75.91560873,30.20573636
9,Point,"[75.90642973034302, 30.126772275449284]",05-11-2020,75.90642973,30.12677228
10,Point,"[75.76973493978907, 30.019429914164114]",05-11-2020,75.76973494,30.01942991
11,Point,"[75.78741606161525, 30.020061606644315]",05-11-2020,75.78741606,30.02006161
12,Point,"[75.85214903092483, 30.02738291957265]",05-11-2020,75.85214903,30.02738292
13,Point,"[75.90313245987991, 29.97663490582052]",05-11-2020,75.90313246,29.97663491
14,Point,"[75.9189253065596, 29.958045904190374]",05-11-2020,75.91892531,29.9580459
15,Point,"[75.971607431487, 29.978417222831283]",05-11-2020,75.97160743,29.97841722
16,Point,"[75.97934900866348, 29.957391756277847]",05-11-2020,75.97934901,29.95739176
17,Point,"[75.99723060409121, 29.94650181358543]",05-11-2020,75.9972306,29.94650181
18,Point,"[76.1196580729739, 29.866469341726567]",05-11-2020,76.11965807,29.86646934
19,Point,"[76.12712534287137, 29.8653900810096]",05-11-2020,76.12712534,29.86539008
20,Point,"[76.0650802462149, 29.862784096936306]",05-11-2020,76.06508025,29.8627841
21,Point,"[76.04085720242551, 29.902617674179645]",05-11-2020,76.0408572,29.90261767
22,Point,"[75.9765911185996, 29.85027166500313]",05-11-2020,75.97659112,29.85027167
23,Point,"[75.87981783462145, 29.839875619537004]",05-11-2020,75.87981783,29.83987562
24,Point,"[75.89466127491438, 29.849872809817747]",05-11-2020,75.89466127,29.84987281
25,Point,"[75.93106540197567, 29.774861286623004]",05-11-2020,75.9310654,29.77486129
26,Point,"[75.92395786957049, 29.789938152425172]",05-11-2020,75.92395787,29.78993815
27,Point,"[76.06914047912859, 29.785040420560506]",05-11-2020,76.06914048,29.78504042
28,Point,"[76.11845805553253, 29.8257615427579]",05-11-2020,76.11845806,29.82576154
29,Point,"[75.81833563998745, 29.88529930837601]",05-11-2020,75.81833564,29.88529931
30,Point,"[75.82498751834439, 29.879122479489062]",05-11-2020,75.82498752,29.87912248
31,Point,"[76.15999323401265, 30.017175303997814]",05-11-2020,76.15999323,30.0171753
32,Point,"[76.12684161298134, 30.04054844607986]",05-11-2020,76.12684161,30.04054845
33,Point,"[76.15421163624418, 30.070524429907813]",05-11-2020,76.15421164,30.07052443
34,Point,"[76.16639959400786, 30.073941190040124]",05-11-2020,76.16639959,30.07394119
35,Point,"[76.04824982326824, 30.069904950746057]",05-11-2020,76.04824982,30.06990495
36,Point,"[76.09277002598758, 30.082165416388854]",05-11-2020,76.09277003,30.08216542
37,Point,"[76.07163136955974, 30.09122929582277]",05-11-2020,76.07163137,30.0912293
38,Point,"[76.13845100745326, 30.18604334456357]",05-11-2020,76.13845101,30.18604334
39,Point,"[76.18194872725499, 30.20361461131853]",05-11-2020,76.18194873,30.20361461
40,Point,"[76.14411162439995, 30.214183479123648]",05-11-2020,76.14411162,30.21418348
41,Point,"[76.14436911646538, 30.212996742187162]",05-11-2020,76.14436912,30.21299674
42,Point,"[76.20715188704706, 30.293632728927673]",05-11-2020,76.20715189,30.29363273
43,Point,"[76.20933595611298, 30.379316849356673]",05-11-2020,76.20933596,30.37931685
44,Point,"[76.12530771209443, 30.4180351373117]",05-11-2020,76.12530771,30.41803514
45,Point,"[76.13940889911045, 30.456315963674562]",05-11-2020,76.1394089,30.45631596
46,Point,"[76.18966158989313, 30.51955466120012]",05-11-2020,76.18966159,30.51955466
47,Point,"[76.65244964445672, 30.556994822743167]",05-11-2020,76.65244964,30.55699482
48,Point,"[76.34167561938756, 30.742277246439425]",05-11-2020,76.34167562,30.74227725
49,Point,"[76.41732749002983, 30.911583175405745]",05-11-2020,76.41732749,30.91158318
0,Point,"[75.41412478266074, 32.112959583829195]",08-11-2020,75.41412478,32.11295958
1,Point,"[74.76232083778643, 31.47995198703531]",08-11-2020,74.76232084,31.47995199
2,Point,"[74.59418577906636, 31.393005972230664]",08-11-2020,74.59418578,31.39300597
3,Point,"[74.6452400422942, 31.133019758010047]",08-11-2020,74.64524004,31.13301976
4,Point,"[75.52383892905351, 31.05295140696049]",08-11-2020,75.52383893,31.05295141
5,Point,"[74.15084275969247, 30.09744828771709]",08-11-2020,74.15084276,30.09744829
6,Point,"[73.96328857542501, 30.341742790375562]",08-11-2020,73.96328858,30.34174279
7,Point,"[73.96264484526144, 30.341187231805392]",08-11-2020,73.96264485,30.34118723
8,Point,"[73.99438905443596, 30.372371890408477]",08-11-2020,73.99438905,30.37237189
9,Point,"[74.10100978941763, 30.381964751459705]",08-11-2020,74.10100979,30.38196475
10,Point,"[73.99961660912972, 30.411121269053115]",08-11-2020,73.99961661,30.41112127
11,Point,"[74.20348945686928, 30.508059156384178]",08-11-2020,74.20348946,30.50805916
12,Point,"[74.62044737383954, 29.923465622217694]",08-11-2020,74.62044737,29.92346562
13,Point,"[74.81553948018129, 30.021215051892433]",08-11-2020,74.81553948,30.02121505
14,Point,"[74.7370328341219, 30.153406941036607]",08-11-2020,74.73703283,30.15340694
15,Point,"[75.09378691730126, 30.200345338752808]",08-11-2020,75.09378692,30.20034534
16,Point,"[75.13143356424321, 31.02474051366579]",08-11-2020,75.13143356,31.02474051
17,Point,"[74.9023055560348, 31.099239573164674]",08-11-2020,74.90230556,31.09923957
18,Point,"[75.27326210344967, 30.570776984141467]",08-11-2020,75.2732621,30.57077698
19,Point,"[74.70904460274264, 30.313194843575975]",08-11-2020,74.7090446,30.31319484
20,Point,"[74.72011676155611, 30.29514624219923]",08-11-2020,74.72011676,30.29514624
21,Point,"[74.48622149184763, 30.067849258847744]",08-11-2020,74.48622149,30.06784926
22,Point,"[74.67269096343888, 30.111412006937236]",08-11-2020,74.67269096,30.11141201
23,Point,"[75.1278880134634, 29.94843751519879]",08-11-2020,75.12788801,29.94843752
24,Point,"[75.55982769811928, 29.846446867394125]",08-11-2020,75.5598277,29.84644687
25,Point,"[75.57328309777938, 29.910300830735146]",08-11-2020,75.5732831,29.91030083
26,Point,"[75.78489866021835, 29.880946239057664]",08-11-2020,75.78489866,29.88094624
27,Point,"[75.77784358023398, 29.931247764114946]",08-11-2020,75.77784358,29.93124776
28,Point,"[75.96269838890423, 29.87985415938962]",08-11-2020,75.96269839,29.87985416
29,Point,"[76.02471106132855, 30.13583145183961]",08-11-2020,76.02471106,30.13583145
30,Point,"[76.42089819958683, 30.475437960552618]",08-11-2020,76.4208982,30.47543796
31,Point,"[76.29349096220386, 30.478980816563826]",08-11-2020,76.29349096,30.47898082
32,Point,"[76.35835908698559, 30.566117116647213]",08-11-2020,76.35835909,30.56611712
33,Point,"[75.01123272668744, 31.416498500219117]",08-11-2020,75.01123273,31.4164985
34,Point,"[74.58963089559192, 31.177468894312163]",08-11-2020,74.5896309,31.17746889
