,type,coordinates,date,lon,lat
0,Point,"[74.61060711910177, 29.962744565026664]",04-11-2018,74.61060712,29.96274457
1,Point,"[74.68891064839066, 30.150780304243764]",04-11-2018,74.68891065,30.1507803
2,Point,"[74.48014665531944, 30.168782053202772]",04-11-2018,74.48014666,30.16878205
3,Point,"[74.4797604172213, 30.16996932307905]",04-11-2018,74.47976042,30.16996932
4,Point,"[74.36976404022373, 30.102634834581817]",04-11-2018,74.36976404,30.10263483
5,Point,"[74.30743665277305, 30.489508455098036]",04-11-2018,74.30743665,30.48950846
6,Point,"[74.30546254693809, 30.48932354942334]",04-11-2018,74.30546255,30.48932355
7,Point,"[74.30386735125035, 30.667609557156478]",04-11-2018,74.30386735,30.66760956
8,Point,"[74.30532647295445, 30.668643122252053]",04-11-2018,74.30532647,30.66864312
9,Point,"[74.6378324668638, 30.323962107953385]",04-11-2018,74.63783247,30.32396211
10,Point,"[74.5485096416821, 30.33970925988286]",04-11-2018,74.54850964,30.33970926
11,Point,"[74.49647644300303, 30.400746451873403]",04-11-2018,74.49647644,30.40074645
12,Point,"[74.62623209668175, 30.27676653754444]",04-11-2018,74.6262321,30.27676654
0,Point,"[75.98642451140674, 29.74908839993624]",06-11-2018,75.98642451,29.7490884
1,Point,"[75.92903482493895, 29.94652214276152]",06-11-2018,75.92903482,29.94652214
2,Point,"[76.19168388496453, 29.861635594921154]",06-11-2018,76.19168388,29.86163559
3,Point,"[75.99444496284538, 29.856276132698582]",06-11-2018,75.99444496,29.85627613
4,Point,"[75.96960470323708, 29.87288481505246]",06-11-2018,75.9696047,29.87288482
5,Point,"[76.01234838609841, 29.914626105013056]",06-11-2018,76.01234839,29.91462611
6,Point,"[76.0153529758376, 29.902694028240745]",06-11-2018,76.01535298,29.90269403
7,Point,"[76.04791858820302, 29.925385255734017]",06-11-2018,76.04791859,29.92538526
8,Point,"[75.88420204424018, 30.048664617257263]",06-11-2018,75.88420204,30.04866462
9,Point,"[76.0007916739803, 30.08605080195705]",06-11-2018,76.00079167,30.0860508
10,Point,"[76.06261999139495, 30.115137277821546]",06-11-2018,76.06261999,30.11513728
11,Point,"[76.01598653102789, 30.118587697000894]",06-11-2018,76.01598653,30.1185877
12,Point,"[75.97847177280521, 30.13289274323611]",06-11-2018,75.97847177,30.13289274
13,Point,"[75.97654058231448, 30.137383666073177]",06-11-2018,75.97654058,30.13738367
14,Point,"[75.99392673406373, 30.162677496463754]",06-11-2018,75.99392673,30.1626775
15,Point,"[75.96826335820924, 30.164903753611807]",06-11-2018,75.96826336,30.16490375
16,Point,"[76.03678254233509, 30.23028201921806]",06-11-2018,76.03678254,30.23028202
17,Point,"[76.31748272469311, 30.18996442951031]",06-11-2018,76.31748272,30.18996443
18,Point,"[76.26598919789869, 30.371704268302707]",06-11-2018,76.2659892,30.37170427
19,Point,"[76.22899617116529, 30.36726107238696]",06-11-2018,76.22899617,30.36726107
20,Point,"[76.29231632173953, 30.378747136197635]",06-11-2018,76.29231632,30.37874714
