,type,coordinates,date,lon,lat
0,Point,"[76.06251833569945, 30.696410246791853]",04-11-2019,76.06251834,30.69641025
1,Point,"[75.93992768514663, 30.667250371481426]",04-11-2019,75.93992769,30.66725037
2,Point,"[75.85958891456235, 30.68131538492987]",04-11-2019,75.85958891,30.68131538
3,Point,"[75.38712271233652, 30.653662671537663]",04-11-2019,75.38712271,30.65366267
4,Point,"[76.16077612439085, 30.8721657405388]",04-11-2019,76.16077612,30.87216574
5,Point,"[76.09411505454688, 30.678283912647753]",04-11-2019,76.09411505,30.67828391
0,Point,"[75.98219655609134, 30.658966875160264]",09-11-2019,75.98219656,30.65896688
1,Point,"[75.49446290921749, 30.9660573298774]",09-11-2019,75.49446291,30.96605733
2,Point,"[75.38178198203791, 30.69385477695144]",09-11-2019,75.38178198,30.69385478
0,Point,"[75.49645163533191, 29.94533745741331]",04-11-2019,75.49645164,29.94533746
1,Point,"[75.59684994640102, 30.004045951113504]",04-11-2019,75.59684995,30.00404595
2,Point,"[75.65484418222566, 30.018542643442625]",04-11-2019,75.65484418,30.01854264
3,Point,"[75.4301889929215, 30.13226985060871]",04-11-2019,75.43018899,30.13226985
4,Point,"[75.42725605808374, 30.186171151225913]",04-11-2019,75.42725606,30.18617115
5,Point,"[75.32246812141163, 30.018579321966858]",04-11-2019,75.32246812,30.01857932
6,Point,"[75.30294843087039, 29.8872347314182]",04-11-2019,75.30294843,29.88723473
7,Point,"[75.24898793151172, 29.896658944005686]",04-11-2019,75.24898793,29.89665894
8,Point,"[75.71407122390198, 29.838057408664717]",04-11-2019,75.71407122,29.83805741
0,Point,"[75.23203496449236, 30.838875965059444]",04-11-2019,75.23203496,30.83887597
1,Point,"[75.09207589420878, 30.87772214044094]",04-11-2019,75.09207589,30.87772214
2,Point,"[75.11107621951116, 30.90824087753931]",04-11-2019,75.11107622,30.90824088
3,Point,"[74.96746002001775, 30.882315397189203]",04-11-2019,74.96746002,30.8823154
4,Point,"[75.1497347548693, 30.74735744256371]",04-11-2019,75.14973475,30.74735744
5,Point,"[75.15672696736114, 30.651111321305557]",04-11-2019,75.15672697,30.65111132
6,Point,"[75.3043273252388, 30.700682675928373]",04-11-2019,75.30432733,30.70068268
7,Point,"[74.99828985283926, 30.753440656662985]",04-11-2019,74.99828985,30.75344066
0,Point,"[74.44583877942061, 30.203260575557188]",04-11-2019,74.44583878,30.20326058
1,Point,"[74.42448676089987, 30.227048594400387]",04-11-2019,74.42448676,30.22704859
2,Point,"[74.69324611108975, 30.312871246910184]",04-11-2019,74.69324611,30.31287125
3,Point,"[74.53922806043664, 30.30826092371811]",04-11-2019,74.53922806,30.30826092
4,Point,"[74.54639812032094, 30.065531861874824]",04-11-2019,74.54639812,30.06553186
5,Point,"[74.55716574959419, 30.429385489682705]",04-11-2019,74.55716575,30.42938549
0,Point,"[76.13201047265981, 29.849053379048453]",04-11-2019,76.13201047,29.84905338
1,Point,"[76.05907434252249, 29.851961073722553]",04-11-2019,76.05907434,29.85196107
2,Point,"[76.00947548502901, 29.925891372080734]",04-11-2019,76.00947549,29.92589137
3,Point,"[76.09031536768912, 30.027218973391772]",04-11-2019,76.09031537,30.02721897
4,Point,"[76.20854326789735, 30.07107334167167]",04-11-2019,76.20854327,30.07107334
5,Point,"[76.34469334072769, 30.206292639811906]",04-11-2019,76.34469334,30.20629264
6,Point,"[76.21573409042558, 30.10855962108494]",04-11-2019,76.21573409,30.10855962
7,Point,"[76.33305642885146, 30.407104448583233]",04-11-2019,76.33305643,30.40710445
8,Point,"[76.42215279536265, 30.430966885441933]",04-11-2019,76.4221528,30.43096689
9,Point,"[76.45783221851866, 30.371463526296946]",04-11-2019,76.45783222,30.37146353
10,Point,"[76.35355540119896, 30.365506816725155]",04-11-2019,76.3535554,30.36550682
11,Point,"[76.23677422236302, 30.295397312554346]",04-11-2019,76.23677422,30.29539731
0,Point,"[76.46369001995313, 30.851543916513652]",04-11-2019,76.46369002,30.85154392
1,Point,"[76.37392435178916, 30.8828544169181]",04-11-2019,76.37392435,30.88285442
0,Point,"[76.51682281077198, 30.87493093014365]",06-11-2019,76.51682281,30.87493093
1,Point,"[76.3251648081864, 30.93513341978177]",06-11-2019,76.32516481,30.93513342
2,Point,"[76.36304069565543, 30.90142142622189]",06-11-2019,76.3630407,30.90142143
0,Point,"[75.78846988420908, 29.8541387579887]",04-11-2019,75.78846988,29.85413876
1,Point,"[75.81007974133153, 29.855677457978533]",04-11-2019,75.81007974,29.85567746
2,Point,"[75.70841831830214, 29.976411625427502]",04-11-2019,75.70841832,29.97641163
3,Point,"[75.76590546819301, 30.014303052523104]",04-11-2019,75.76590547,30.01430305
