,type,coordinates,date,lon,lat
0,Point,"[74.66509383505482, 31.85814260095994]",29/10/2021,74.66509383505482,31.85814260095994
0,Point,"[74.6017850133615, 31.64100625972751]",08/11/2021,74.6017850133615,31.64100625972751
1,Point,"[74.58362771711161, 31.51685401945741]",08/11/2021,74.58362771711161,31.51685401945741
2,Point,"[75.21702934491385, 31.6435277158583]",08/11/2021,75.21702934491385,31.6435277158583
3,Point,"[74.65181286314939, 31.571387266108573]",08/11/2021,74.65181286314939,31.571387266108573
0,Point,"[75.44062900862184, 30.349409254152576]",03/11/2021,75.44062900862184,30.349409254152576
1,Point,"[75.63376999116487, 30.352996364685563]",03/11/2021,75.63376999116487,30.352996364685563
2,Point,"[75.62753044277626, 30.452056968269723]",03/11/2021,75.62753044277626,30.452056968269723
3,Point,"[75.60648603710251, 30.580887116207723]",03/11/2021,75.60648603710251,30.580887116207723
4,Point,"[75.44846985781943, 30.4534912906183]",03/11/2021,75.44846985781943,30.4534912906183
5,Point,"[75.42553471972553, 30.47797175323306]",03/11/2021,75.42553471972553,30.47797175323306
6,Point,"[75.34028666971685, 30.370834761203465]",03/11/2021,75.34028666971685,30.370834761203465
7,Point,"[75.42744589515416, 30.213936550244426]",03/11/2021,75.42744589515416,30.213936550244426
8,Point,"[75.4229638597426, 30.49979301482903]",03/11/2021,75.4229638597426,30.49979301482903
9,Point,"[75.29953971740554, 30.41745814845983]",03/11/2021,75.29953971740554,30.41745814845983
10,Point,"[75.48170314218963, 30.431565814110826]",03/11/2021,75.48170314218963,30.431565814110826
11,Point,"[75.34565020317049, 30.41547017183958]",03/11/2021,75.34565020317049,30.41547017183958
12,Point,"[75.56973006176526, 30.437571783505508]",03/11/2021,75.56973006176526,30.437571783505508
0,Point,"[75.23328040308105, 30.328332383566767]",03/11/2021,75.23328040308105,30.328332383566767
1,Point,"[75.14125275119915, 30.336406519737274]",03/11/2021,75.14125275119915,30.336406519737274
2,Point,"[74.96245882912497, 30.13847566029853]",03/11/2021,74.96245882912497,30.13847566029853
0,Point,"[75.22718690490726, 30.162142863001527]",08/11/2021,75.22718690490726,30.162142863001527
1,Point,"[74.9608066033906, 30.045007855462437]",08/11/2021,74.9608066033906,30.045007855462437
2,Point,"[75.16918629811562, 29.892557439372595]",08/11/2021,75.16918629811562,29.892557439372595
3,Point,"[75.17241674546288, 30.13685675676021]",08/11/2021,75.17241674546288,30.13685675676021
4,Point,"[74.77634135626596, 30.12454339822383]",08/11/2021,74.77634135626596,30.12454339822383
5,Point,"[74.67519298420066, 30.14827811598579]",08/11/2021,74.67519298420066,30.14827811598579
0,Point,"[74.83436465909254, 30.682616406489228]",29/10/2021,74.83436465909254,30.682616406489228
1,Point,"[74.71429621685178, 30.587216653958723]",29/10/2021,74.71429621685178,30.587216653958723
0,Point,"[74.72733403527502, 30.602700614021824]",03/11/2021,74.72733403527502,30.602700614021824
1,Point,"[74.9622251580291, 30.452975794618734]",03/11/2021,74.9622251580291,30.452975794618734
2,Point,"[74.9774400645547, 30.42442027513848]",03/11/2021,74.9774400645547,30.42442027513848
0,Point,"[76.32335681951609, 30.732161119585896]",03/11/2021,76.32335681951609,30.732161119585896
1,Point,"[76.36834979659926, 30.68129844102461]",03/11/2021,76.36834979659926,30.68129844102461
